Order Date,Product Name,Category,Region,Quantity,Sales,Profit
4/17/2024,Smartwatch,Electronics,East,6,2124.00,126.03
9/30/2024,Monitor,Accessories,West,5,5210.00,1338.80
6/2/2024,Mouse,Accessories,South,7,5761.00,362.48
9/26/2022,Headphones,Accessories,South,7,6895.00,1596.35
12/17/2024,Smartwatch,Electronics,East,3,2118.00,317.08
10/9/2024,Smartwatch,Electronics,North,5,830.00,58.28
7/14/2023,Smartwatch,Electronics,North,1,851.00,93.56
12/5/2023,Tablet,Electronics,East,5,4730.00,1365.63
6/3/2022,Mouse,Accessories,West,6,5460.00,845.75
12/28/2024,Headphones,Accessories,East,5,5795.00,310.60
8/6/2022,Laptop,Electronics,South,4,2008.00,338.44
6/6/2023,Mouse,Accessories,South,7,2842.00,425.24
2/1/2024,Mouse,Accessories,East,4,3404.00,392.22
5/31/2023,Smartwatch,Electronics,West,1,1065.00,228.63
6/14/2024,Tablet,Electronics,West,7,2149.00,121.69
8/14/2024,Keyboard,Accessories,East,8,5912.00,1143.04
2/1/2023,Mouse,Accessories,West,3,3348.00,331.28
4/28/2024,Smartphone,Electronics,South,3,2409.00,531.79
4/5/2024,Tablet,Electronics,North,2,328.00,39.51
1/31/2024,Smartphone,Electronics,West,8,6224.00,1561.42
1/9/2024,Smartwatch,Electronics,North,5,2530.00,486.09
4/6/2022,Headphones,Accessories,West,4,4108.00,462.17
5/22/2024,Printer,Office,South,5,1640.00,391.36
12/30/2023,Laptop,Electronics,South,1,111.00,19.33
3/17/2022,Headphones,Accessories,North,1,445.00,128.89
5/24/2022,Printer,Office,North,4,3600.00,623.72
6/9/2024,Mouse,Accessories,North,3,1335.00,176.44
12/1/2024,Keyboard,Accessories,South,5,3090.00,242.15
10/20/2023,Printer,Office,East,5,3910.00,538.52
3/5/2024,Camera,Electronics,South,1,219.00,32.67
12/5/2022,Smartphone,Electronics,West,5,390.00,27.77
8/5/2022,Laptop,Electronics,North,6,3294.00,359.61
3/21/2023,Keyboard,Accessories,West,4,4572.00,1038.05
2/8/2022,Monitor,Accessories,South,7,980.00,109.94
4/1/2023,Headphones,Accessories,North,2,2262.00,532.12
12/14/2022,Camera,Electronics,South,7,7518.00,1655.91
5/14/2022,Camera,Electronics,South,1,873.00,158.97
2/16/2022,Mouse,Accessories,North,6,1512.00,423.03
8/28/2024,Laptop,Electronics,West,1,705.00,165.16
10/30/2023,Smartwatch,Electronics,North,8,3256.00,533.70
6/24/2023,Tablet,Electronics,West,4,556.00,81.77
5/17/2023,Mouse,Accessories,East,9,7101.00,2105.82
4/6/2023,Laptop,Electronics,West,9,8802.00,1344.96
3/26/2023,Headphones,Accessories,South,6,5592.00,1294.16
10/12/2024,Tablet,Electronics,North,2,1852.00,168.92
6/26/2022,Monitor,Accessories,East,1,195.00,57.88
4/15/2022,Mouse,Accessories,East,9,7884.00,2054.02
12/10/2023,Laptop,Electronics,East,5,4360.00,1160.55
9/23/2024,Mouse,Accessories,North,6,4920.00,929.18
1/1/2022,Mouse,Accessories,East,3,3474.00,565.00
2/3/2022,Keyboard,Accessories,West,1,930.00,222.50
3/14/2023,Tablet,Electronics,South,7,1421.00,248.02
8/24/2022,Headphones,Accessories,North,2,634.00,161.10
7/7/2024,Camera,Electronics,East,1,673.00,114.42
4/13/2022,Mouse,Accessories,South,5,3135.00,787.70
5/8/2024,Smartphone,Electronics,East,6,882.00,184.48
9/10/2024,Smartphone,Electronics,East,4,1192.00,212.77
6/18/2024,Printer,Office,South,3,390.00,112.08
9/10/2024,Tablet,Electronics,North,1,834.00,95.54
5/6/2022,Smartphone,Electronics,East,6,612.00,83.75
6/18/2024,Headphones,Accessories,West,9,8073.00,710.23
10/29/2023,Keyboard,Accessories,North,8,2640.00,723.88
11/13/2023,Smartphone,Electronics,North,3,3234.00,440.70
8/21/2022,Monitor,Accessories,West,5,4435.00,355.51
3/4/2024,Smartwatch,Electronics,North,2,2302.00,305.07
4/17/2022,Camera,Electronics,East,6,1728.00,307.44
12/20/2023,Laptop,Electronics,East,4,228.00,54.05
3/19/2022,Tablet,Electronics,West,6,3450.00,705.74
7/7/2024,Smartphone,Electronics,South,8,7456.00,1702.48
4/30/2023,Smartphone,Electronics,West,6,4728.00,705.85
3/22/2024,Smartwatch,Electronics,North,7,945.00,124.62
3/8/2022,Laptop,Electronics,North,4,296.00,65.05
9/15/2023,Smartphone,Electronics,West,4,640.00,149.89
3/1/2023,Tablet,Electronics,North,1,797.00,65.27
10/24/2023,Monitor,Accessories,North,4,1456.00,431.89
4/22/2024,Monitor,Accessories,South,6,4038.00,364.11
6/27/2023,Tablet,Electronics,West,7,5656.00,355.81
4/13/2023,Mouse,Accessories,West,4,3876.00,302.37
5/19/2023,Keyboard,Accessories,South,6,1002.00,114.70
11/15/2024,Headphones,Accessories,East,9,2187.00,413.76
12/25/2023,Mouse,Accessories,North,6,7146.00,1627.42
3/31/2022,Keyboard,Accessories,South,1,189.00,14.88
4/24/2024,Monitor,Accessories,East,5,940.00,266.02
1/10/2022,Headphones,Accessories,North,1,951.00,127.58
11/17/2022,Printer,Office,East,2,124.00,27.42
6/29/2024,Mouse,Accessories,West,9,7506.00,594.28
11/14/2022,Monitor,Accessories,West,7,8176.00,2308.76
8/11/2023,Smartphone,Electronics,East,5,2125.00,632.68
5/22/2024,Headphones,Accessories,North,1,967.00,59.98
3/19/2022,Headphones,Accessories,South,5,270.00,29.41
10/23/2022,Keyboard,Accessories,West,9,10035.00,1486.30
2/26/2023,Printer,Office,North,8,6792.00,1125.23
10/3/2024,Printer,Office,East,1,714.00,99.13
7/17/2022,Smartphone,Electronics,South,5,765.00,157.64
11/4/2024,Headphones,Accessories,East,7,4221.00,358.02
2/24/2023,Laptop,Electronics,North,4,2108.00,576.48
8/8/2024,Monitor,Accessories,North,9,10530.00,2387.63
5/14/2024,Keyboard,Accessories,South,6,3396.00,914.17
1/15/2022,Monitor,Accessories,North,4,1060.00,213.05
5/10/2022,Tablet,Electronics,East,5,480.00,73.07
3/10/2022,Headphones,Accessories,West,3,2529.00,285.65
1/23/2022,Smartwatch,Electronics,East,8,4792.00,511.97
9/19/2024,Smartwatch,Electronics,East,8,8056.00,605.80
6/6/2024,Tablet,Electronics,North,4,4228.00,947.76
10/10/2024,Tablet,Electronics,East,1,653.00,93.78
3/24/2024,Tablet,Electronics,North,9,7452.00,1212.51
7/21/2023,Mouse,Accessories,East,4,4128.00,1156.71
7/21/2022,Tablet,Electronics,West,5,5090.00,1201.56
9/1/2022,Camera,Electronics,North,5,4930.00,387.33
4/20/2023,Smartwatch,Electronics,South,6,2610.00,434.37
12/11/2023,Laptop,Electronics,North,3,2139.00,415.84
9/29/2024,Tablet,Electronics,South,1,226.00,55.40
11/20/2023,Smartwatch,Electronics,West,2,2244.00,212.08
7/15/2023,Monitor,Accessories,East,6,3150.00,578.87
12/24/2023,Laptop,Electronics,South,7,3388.00,347.19
8/13/2023,Laptop,Electronics,East,8,8736.00,580.31
4/24/2022,Smartphone,Electronics,South,2,1102.00,176.53
7/13/2024,Monitor,Accessories,East,3,2640.00,199.97
6/11/2022,Printer,Office,West,3,2547.00,300.74
10/28/2024,Laptop,Electronics,North,7,728.00,64.82
11/24/2022,Camera,Electronics,South,7,3444.00,607.44
10/3/2024,Camera,Electronics,West,5,3140.00,853.66
3/24/2024,Smartphone,Electronics,East,3,435.00,129.27
6/28/2024,Keyboard,Accessories,East,4,856.00,72.99
5/31/2022,Printer,Office,North,2,112.00,23.33
3/25/2024,Headphones,Accessories,North,3,2247.00,507.79
1/31/2023,Keyboard,Accessories,West,2,1512.00,298.73
6/23/2024,Mouse,Accessories,South,5,4915.00,1196.60
8/16/2023,Mouse,Accessories,South,3,2709.00,663.54
6/10/2023,Tablet,Electronics,North,7,1239.00,118.36
5/9/2023,Tablet,Electronics,West,2,572.00,86.16
5/8/2022,Smartwatch,Electronics,North,2,1708.00,93.25
11/6/2024,Smartwatch,Electronics,North,4,360.00,42.66
12/8/2022,Camera,Electronics,North,6,3822.00,388.34
9/25/2022,Camera,Electronics,North,6,4680.00,932.97
7/10/2024,Camera,Electronics,North,5,2520.00,487.18
3/29/2024,Smartwatch,Electronics,North,2,2138.00,619.29
1/11/2022,Keyboard,Accessories,West,3,2529.00,169.60
4/8/2022,Keyboard,Accessories,East,1,236.00,29.33
1/21/2024,Tablet,Electronics,West,6,2730.00,636.48
4/27/2023,Headphones,Accessories,North,3,3021.00,872.49
11/6/2024,Smartwatch,Electronics,North,2,244.00,16.78
5/11/2022,Camera,Electronics,South,8,728.00,120.06
10/2/2022,Mouse,Accessories,North,3,453.00,89.49
1/12/2022,Laptop,Electronics,South,1,379.00,84.38
1/9/2023,Tablet,Electronics,West,3,2130.00,510.69
5/4/2023,Monitor,Accessories,North,8,4120.00,710.11
9/7/2024,Smartwatch,Electronics,South,7,3150.00,299.70
5/17/2022,Smartwatch,Electronics,East,7,2688.00,603.07
8/17/2023,Tablet,Electronics,East,2,1752.00,501.19
9/7/2023,Keyboard,Accessories,North,7,7308.00,948.40
5/11/2022,Tablet,Electronics,North,3,2007.00,160.84
5/12/2023,Tablet,Electronics,West,7,7224.00,479.23
5/8/2023,Monitor,Accessories,South,9,6939.00,1249.31
2/18/2023,Smartphone,Electronics,East,7,5516.00,1475.67
1/29/2022,Printer,Office,South,2,2224.00,116.47
1/12/2023,Laptop,Electronics,South,5,3985.00,824.40
1/3/2022,Camera,Electronics,North,7,2723.00,638.26
10/20/2022,Tablet,Electronics,North,2,746.00,170.75
8/21/2024,Laptop,Electronics,West,5,3170.00,245.25
12/11/2023,Smartwatch,Electronics,East,5,550.00,63.11
8/14/2022,Tablet,Electronics,North,8,480.00,132.45
6/3/2024,Printer,Office,East,4,3284.00,354.40
1/23/2024,Smartwatch,Electronics,South,2,1748.00,183.75
11/20/2023,Headphones,Accessories,North,8,824.00,240.84
3/3/2022,Headphones,Accessories,North,4,1872.00,448.46
2/20/2024,Tablet,Electronics,West,3,627.00,103.98
8/9/2024,Camera,Electronics,East,9,5661.00,1104.02
6/19/2022,Camera,Electronics,North,3,2910.00,765.47
9/1/2024,Tablet,Electronics,South,9,9036.00,1087.46
8/30/2024,Tablet,Electronics,West,5,4815.00,338.31
8/12/2022,Mouse,Accessories,South,1,1187.00,206.28
8/4/2022,Headphones,Accessories,East,3,3339.00,732.92
2/20/2024,Tablet,Electronics,East,1,620.00,165.43
2/26/2023,Camera,Electronics,West,5,2025.00,414.42
11/20/2024,Printer,Office,East,5,3030.00,811.92
8/12/2023,Smartwatch,Electronics,North,5,655.00,166.69
1/17/2022,Printer,Office,West,2,2238.00,294.54
4/12/2023,Smartphone,Electronics,South,8,3312.00,811.31
7/26/2023,Printer,Office,East,9,9387.00,1271.64
1/1/2024,Mouse,Accessories,West,6,5790.00,1285.21
12/6/2023,Laptop,Electronics,South,6,2700.00,527.97
12/5/2023,Smartwatch,Electronics,East,8,2072.00,555.06
10/27/2024,Keyboard,Accessories,North,3,2991.00,716.54
8/4/2024,Laptop,Electronics,East,6,5568.00,958.59
2/1/2023,Smartwatch,Electronics,North,7,5509.00,1648.74
6/2/2024,Printer,Office,West,7,5922.00,1323.10
4/28/2024,Smartphone,Electronics,South,4,4380.00,362.81
3/25/2022,Tablet,Electronics,South,5,1760.00,272.68
10/5/2024,Headphones,Accessories,North,9,5571.00,1523.81
12/19/2024,Tablet,Electronics,South,2,1082.00,182.10
7/18/2022,Camera,Electronics,East,1,569.00,138.11
6/11/2023,Mouse,Accessories,North,8,3416.00,697.42
10/13/2024,Printer,Office,West,1,570.00,57.07
8/7/2023,Monitor,Accessories,East,6,3300.00,386.92
12/4/2022,Laptop,Electronics,South,8,2584.00,568.77
2/18/2024,Monitor,Accessories,South,9,7650.00,2204.44
12/5/2024,Headphones,Accessories,West,8,3600.00,272.51
12/15/2023,Monitor,Accessories,West,6,846.00,190.87
8/12/2023,Smartphone,Electronics,West,1,51.00,9.36
5/20/2024,Smartwatch,Electronics,South,6,7056.00,586.91
6/5/2024,Smartwatch,Electronics,West,2,384.00,38.41
1/9/2022,Laptop,Electronics,South,8,2928.00,663.54
12/17/2023,Camera,Electronics,West,7,1904.00,352.86
9/8/2022,Tablet,Electronics,East,2,2314.00,312.07
1/22/2022,Printer,Office,South,4,1028.00,192.13
9/4/2024,Headphones,Accessories,South,9,8307.00,1326.23
1/20/2024,Printer,Office,West,9,1539.00,203.54
11/3/2022,Tablet,Electronics,West,7,2506.00,537.98
7/3/2023,Smartphone,Electronics,West,6,5778.00,1232.54
1/25/2024,Tablet,Electronics,East,9,10188.00,2165.78
5/11/2024,Monitor,Accessories,North,1,952.00,157.70
1/2/2024,Smartwatch,Electronics,West,8,3624.00,750.86
2/24/2023,Keyboard,Accessories,South,8,7968.00,1551.12
7/20/2024,Mouse,Accessories,South,2,1254.00,250.09
6/14/2023,Printer,Office,West,3,705.00,196.05
4/10/2022,Mouse,Accessories,West,1,916.00,223.50
10/1/2024,Printer,Office,North,2,848.00,129.96
5/10/2022,Monitor,Accessories,East,8,2240.00,313.17
1/28/2022,Monitor,Accessories,South,1,940.00,120.35
4/5/2023,Headphones,Accessories,West,5,1550.00,203.51
9/22/2023,Keyboard,Accessories,South,7,2352.00,256.40
8/29/2024,Smartwatch,Electronics,North,9,1638.00,183.75
11/18/2023,Camera,Electronics,North,6,7164.00,1442.72
9/12/2023,Mouse,Accessories,East,1,205.00,54.54
5/26/2023,Keyboard,Accessories,North,2,766.00,49.23
4/30/2023,Keyboard,Accessories,North,1,168.00,17.84
11/1/2024,Mouse,Accessories,South,1,1058.00,207.55
5/6/2022,Keyboard,Accessories,South,5,1455.00,423.81
5/10/2023,Camera,Electronics,East,2,2224.00,364.04
11/4/2022,Smartphone,Electronics,West,7,1400.00,80.49
5/9/2022,Smartphone,Electronics,East,7,7567.00,2213.18
11/7/2022,Tablet,Electronics,East,6,3396.00,987.68
8/11/2023,Smartwatch,Electronics,East,2,704.00,135.63
10/21/2024,Tablet,Electronics,East,9,7767.00,2172.19
10/6/2024,Mouse,Accessories,West,5,2050.00,157.13
8/8/2023,Monitor,Accessories,North,9,10458.00,2799.48
1/19/2022,Camera,Electronics,South,4,4700.00,619.26
4/30/2024,Smartphone,Electronics,North,2,892.00,222.51
12/26/2023,Laptop,Electronics,East,8,6968.00,1479.09
4/7/2024,Laptop,Electronics,North,7,1344.00,300.88
10/18/2022,Camera,Electronics,West,1,354.00,65.99
4/21/2024,Monitor,Accessories,South,3,3051.00,662.23
3/26/2024,Camera,Electronics,South,3,402.00,106.87
10/31/2022,Monitor,Accessories,North,5,3570.00,517.82
3/3/2023,Keyboard,Accessories,North,7,3829.00,876.35
2/3/2023,Mouse,Accessories,North,7,4676.00,242.64
4/15/2023,Keyboard,Accessories,East,3,1119.00,317.36
5/9/2023,Smartphone,Electronics,East,4,4228.00,764.30
1/2/2022,Headphones,Accessories,North,8,1240.00,251.20
11/28/2024,Keyboard,Accessories,North,9,3591.00,342.18
2/5/2022,Printer,Office,West,8,3952.00,451.08
6/5/2024,Keyboard,Accessories,South,6,3648.00,1050.08
11/15/2024,Monitor,Accessories,North,5,3875.00,768.74
11/13/2023,Smartwatch,Electronics,West,8,3416.00,478.90
2/19/2022,Tablet,Electronics,West,1,908.00,222.58
5/6/2024,Headphones,Accessories,South,4,4532.00,987.32
8/4/2023,Headphones,Accessories,East,4,4168.00,650.15
9/23/2023,Laptop,Electronics,North,3,3543.00,941.37
9/14/2024,Laptop,Electronics,East,6,5124.00,1078.57
3/17/2023,Smartwatch,Electronics,South,9,5751.00,1196.23
9/29/2023,Camera,Electronics,East,2,624.00,139.64
12/1/2023,Camera,Electronics,South,1,508.00,151.29
9/13/2023,Headphones,Accessories,South,4,4700.00,914.60
3/14/2022,Keyboard,Accessories,West,8,3216.00,639.78
7/15/2023,Laptop,Electronics,West,6,2844.00,581.00
5/29/2022,Smartphone,Electronics,West,5,2385.00,258.60
1/16/2023,Monitor,Accessories,South,8,928.00,170.05
9/6/2023,Headphones,Accessories,North,6,4656.00,673.35
3/29/2023,Headphones,Accessories,North,2,330.00,21.46
11/1/2023,Camera,Electronics,North,7,1799.00,274.11
8/25/2022,Printer,Office,East,1,1029.00,173.61
12/30/2022,Headphones,Accessories,North,8,5432.00,1619.39
9/4/2024,Camera,Electronics,West,5,5785.00,1191.11
1/8/2024,Printer,Office,North,1,1062.00,272.42
12/27/2022,Keyboard,Accessories,North,1,163.00,22.07
4/14/2024,Smartphone,Electronics,West,9,9162.00,1625.62
2/10/2023,Printer,Office,East,4,1440.00,130.24
7/15/2023,Monitor,Accessories,South,5,1465.00,149.62
10/27/2024,Monitor,Accessories,West,2,366.00,31.23
7/19/2024,Camera,Electronics,South,5,3135.00,277.28
3/3/2024,Keyboard,Accessories,North,2,630.00,161.04
4/12/2024,Monitor,Accessories,South,1,213.00,42.94
6/20/2024,Monitor,Accessories,North,4,3792.00,1092.85
6/21/2023,Mouse,Accessories,East,2,1932.00,109.07
1/25/2023,Keyboard,Accessories,West,4,4152.00,317.28
2/17/2024,Smartphone,Electronics,North,7,3612.00,529.57
9/9/2024,Smartphone,Electronics,East,2,2258.00,280.76
7/9/2022,Camera,Electronics,South,3,594.00,47.73
9/1/2023,Headphones,Accessories,West,7,8071.00,1799.06
3/30/2024,Keyboard,Accessories,North,7,5838.00,631.45
12/22/2024,Keyboard,Accessories,North,4,692.00,181.31
9/8/2024,Keyboard,Accessories,South,3,1704.00,309.06
1/21/2023,Printer,Office,South,5,3235.00,941.24
10/12/2023,Mouse,Accessories,East,6,4746.00,545.57
8/1/2022,Smartwatch,Electronics,South,8,7600.00,788.88
11/3/2023,Smartphone,Electronics,West,5,1935.00,128.01
12/4/2023,Laptop,Electronics,North,3,1638.00,306.29
6/30/2023,Keyboard,Accessories,West,7,4746.00,816.60
2/1/2023,Smartphone,Electronics,North,8,4824.00,1187.93
5/9/2022,Camera,Electronics,South,1,1193.00,153.72
12/16/2023,Laptop,Electronics,East,2,562.00,92.94
3/20/2022,Smartphone,Electronics,North,8,6200.00,1296.84
7/28/2024,Printer,Office,North,8,4128.00,315.48
3/28/2022,Printer,Office,East,5,5405.00,326.56
11/6/2024,Laptop,Electronics,North,3,1371.00,104.66
1/1/2023,Keyboard,Accessories,West,5,1405.00,194.33
3/18/2023,Keyboard,Accessories,North,3,1644.00,158.32
9/18/2024,Mouse,Accessories,West,6,3414.00,396.92
8/19/2024,Laptop,Electronics,East,8,3272.00,674.57
6/18/2022,Smartphone,Electronics,North,3,2655.00,646.91
5/29/2022,Smartwatch,Electronics,West,7,1673.00,458.32
6/9/2022,Tablet,Electronics,East,2,846.00,145.09
5/3/2023,Smartphone,Electronics,East,1,985.00,196.64
11/17/2023,Smartwatch,Electronics,North,9,7551.00,894.40
2/8/2022,Tablet,Electronics,North,5,855.00,217.16
10/23/2023,Camera,Electronics,South,2,396.00,94.55
8/24/2022,Tablet,Electronics,West,8,2296.00,560.48
5/9/2024,Monitor,Accessories,North,6,1704.00,199.94
3/12/2023,Smartphone,Electronics,East,2,1180.00,261.16
10/5/2022,Smartphone,Electronics,East,3,411.00,55.73
1/19/2022,Mouse,Accessories,East,1,745.00,151.22
5/9/2022,Printer,Office,West,9,10656.00,961.30
5/23/2024,Mouse,Accessories,South,3,1494.00,178.50
7/11/2024,Camera,Electronics,South,5,1755.00,358.01
8/22/2022,Camera,Electronics,South,9,4941.00,894.52
11/3/2024,Smartwatch,Electronics,North,6,6510.00,1539.18
10/11/2024,Smartphone,Electronics,South,5,5465.00,719.92
11/9/2024,Tablet,Electronics,South,3,3522.00,285.91
4/1/2024,Tablet,Electronics,West,6,1656.00,139.86
7/7/2022,Printer,Office,North,5,1255.00,257.15
6/10/2023,Keyboard,Accessories,East,1,1192.00,320.13
5/15/2023,Tablet,Electronics,West,5,1925.00,204.74
6/8/2022,Tablet,Electronics,West,8,1688.00,337.33
6/26/2023,Headphones,Accessories,South,1,260.00,16.81
1/19/2022,Monitor,Accessories,West,5,4880.00,1250.66
4/10/2024,Keyboard,Accessories,West,7,1134.00,179.74
6/10/2022,Laptop,Electronics,North,9,9621.00,1201.29
2/3/2023,Monitor,Accessories,South,4,2836.00,698.83
5/15/2023,Printer,Office,North,9,5859.00,1153.89
9/11/2022,Smartwatch,Electronics,South,2,2044.00,460.03
7/1/2023,Monitor,Accessories,South,1,612.00,174.52
2/18/2022,Smartwatch,Electronics,North,3,1890.00,492.31
9/30/2023,Smartwatch,Electronics,East,5,2025.00,168.82
9/4/2023,Printer,Office,South,2,1960.00,312.06
7/7/2022,Camera,Electronics,North,6,4410.00,893.27
7/14/2024,Keyboard,Accessories,West,8,8272.00,2391.88
9/27/2022,Smartwatch,Electronics,West,6,5712.00,638.29
4/20/2024,Smartwatch,Electronics,North,6,1524.00,178.36
5/24/2024,Keyboard,Accessories,North,8,5160.00,1057.41
12/29/2024,Mouse,Accessories,East,4,2956.00,451.60
5/7/2023,Smartphone,Electronics,West,8,7944.00,2257.73
9/10/2024,Camera,Electronics,North,5,1815.00,535.22
3/21/2023,Headphones,Accessories,North,3,2706.00,546.97
5/5/2023,Laptop,Electronics,North,2,1356.00,144.18
7/27/2023,Printer,Office,South,6,6384.00,1189.19
6/13/2023,Smartwatch,Electronics,South,9,4248.00,964.12
5/2/2024,Monitor,Accessories,North,6,3954.00,676.82
4/21/2024,Smartphone,Electronics,South,6,7110.00,739.60
7/25/2023,Headphones,Accessories,South,7,8113.00,995.03
1/26/2023,Headphones,Accessories,North,3,1830.00,183.62
1/11/2023,Keyboard,Accessories,West,4,3732.00,671.19
9/27/2024,Mouse,Accessories,West,6,4062.00,1087.17
12/3/2024,Smartwatch,Electronics,North,1,496.00,93.31
8/24/2023,Smartwatch,Electronics,East,4,1104.00,84.31
5/19/2023,Smartphone,Electronics,West,3,2274.00,662.00
6/13/2022,Smartwatch,Electronics,North,8,4456.00,1106.04
8/26/2022,Mouse,Accessories,West,8,4928.00,1038.18
1/22/2023,Smartphone,Electronics,North,4,1740.00,224.79
8/8/2022,Headphones,Accessories,North,2,178.00,31.46
11/19/2023,Printer,Office,East,8,5296.00,1234.81
6/28/2023,Mouse,Accessories,North,4,4156.00,847.09
10/9/2024,Printer,Office,North,1,624.00,106.92
9/4/2022,Smartphone,Electronics,West,4,3892.00,1052.72
7/18/2024,Mouse,Accessories,South,9,1620.00,294.60
9/22/2022,Mouse,Accessories,West,3,2250.00,301.97
7/31/2024,Monitor,Accessories,West,2,1390.00,316.31
4/21/2023,Camera,Electronics,South,5,5155.00,1325.16
7/9/2022,Smartwatch,Electronics,North,5,1025.00,262.91
7/31/2024,Mouse,Accessories,South,3,1785.00,244.52
9/30/2022,Smartwatch,Electronics,North,9,2952.00,605.85
12/25/2024,Headphones,Accessories,East,1,773.00,181.52
3/30/2023,Tablet,Electronics,North,8,1640.00,361.48
10/2/2023,Keyboard,Accessories,East,1,1017.00,69.33
5/23/2022,Headphones,Accessories,East,4,1964.00,349.91
4/5/2023,Mouse,Accessories,North,3,2994.00,638.59
10/8/2023,Printer,Office,East,9,8046.00,2210.33
5/22/2022,Printer,Office,West,2,1874.00,271.50
8/19/2023,Mouse,Accessories,North,8,6008.00,871.76
9/6/2023,Camera,Electronics,East,8,7240.00,411.19
6/17/2024,Monitor,Accessories,South,9,1188.00,348.31
12/22/2024,Headphones,Accessories,North,9,2997.00,163.34
2/2/2023,Printer,Office,West,9,7524.00,2017.85
10/13/2022,Monitor,Accessories,North,5,3625.00,268.73
3/31/2024,Laptop,Electronics,East,8,6952.00,871.20
5/29/2023,Camera,Electronics,North,9,1053.00,283.58
12/21/2024,Monitor,Accessories,North,9,6696.00,1224.22
10/9/2024,Headphones,Accessories,North,2,1420.00,93.59
12/29/2023,Camera,Electronics,West,9,9972.00,2566.01
11/28/2022,Laptop,Electronics,South,8,3136.00,494.26
2/10/2023,Camera,Electronics,West,3,225.00,20.52
5/12/2022,Mouse,Accessories,East,3,1662.00,375.04
5/3/2024,Printer,Office,West,4,500.00,85.96
8/2/2022,Smartphone,Electronics,North,8,3168.00,747.33
12/31/2023,Smartphone,Electronics,East,1,622.00,104.57
4/3/2022,Tablet,Electronics,North,3,1233.00,361.12
1/19/2024,Laptop,Electronics,West,3,573.00,116.14
2/18/2022,Tablet,Electronics,South,1,702.00,129.34
